id,name,category,tags,price,stock,image,description
1,特级茉莉香米,大米,米,32.5,50,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&q=80&w=400,高品质长粒茉莉香米，带有淡淡的自然花香。
2,全麦面粉,面粉,面,12,120,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&q=80&w=400,精细研磨的全麦面粉，是健康烘焙的理想选择。
3,冷压初榨橄榄油,食用油,油,45,30,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?auto=format&fit=crop&q=80&w=400,特级初榨橄榄油，采用冷压工艺，最大限度保留营养和风味。
7,东北大米,大米,米,25,100,https://images.unsplash.com/photo-1516684732162-798a0062be99?auto=format&fit=crop&q=80&w=400,颗粒饱满，口感软糯，来自东北肥沃黑土地。
8,五常大米,大米,米,48,60,https://images.unsplash.com/photo-1536304993881-ff6e9eefa2a6?auto=format&fit=crop&q=80&w=400,五常核心产区，稻花香2号，香气扑鼻，御用品质。
9,泰国香米,大米,米,38,80,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&q=80&w=400,泰国原装进口，米香浓郁，口感丝滑。
10,中筋面粉,面粉,面,9,150,https://images.unsplash.com/photo-1594913217596-189601d3f0a0?auto=format&fit=crop&q=80&w=400,适合制作馒头、饺子、包子等中式面点。
11,高筋面粉,面粉,面,11.5,100,https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&q=80&w=400,麦香浓郁，筋度高，适合制作面包和面条。
12,玉米面,杂粮,面,6.5,200,https://images.unsplash.com/photo-1614730321146-b6fa6a46bcc4?auto=format&fit=crop&q=80&w=400,精磨细面，营养丰富，粗粮细吃的理想选择。
13,花生油,食用油,油,88,40,https://images.unsplash.com/photo-1620706122114-0e7834578619?auto=format&fit=crop&q=80&w=400,压榨工艺，浓郁花生香味，适合爆炒。
14,菜籽油,食用油,油,65,50,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?auto=format&fit=crop&q=80&w=400,传统压榨，纯正香气，适合川菜烹饪。
15,大豆油,食用油,油,45,100,https://images.unsplash.com/photo-1581447100512-c7ce428a7e3a?auto=format&fit=crop&q=80&w=400,非转基因大豆，色泽金黄，日常烹饪首选。
16,芝麻油,食用油,油,25,90,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?auto=format&fit=crop&q=80&w=400,小磨香油，滴滴纯香，凉拌与调味的点睛之笔。
17,红豆,杂粮,米,8,150,https://images.unsplash.com/photo-1600271886742-f049cd451bba?auto=format&fit=crop&q=80&w=400,颗颗饱满，易煮烂，适合熬粥与制作甜品。
18,绿豆,杂粮,米,7.5,180,https://images.unsplash.com/photo-1516616370751-86d6bd8b055a?auto=format&fit=crop&q=80&w=400,清热解暑，皮薄肉厚，消暑汤好伴侣。
19,小米,杂粮,米,9,120,https://images.unsplash.com/photo-1586201375761-83865001e31c?auto=format&fit=crop&q=80&w=400,正宗黄小米，熬出浓稠米油，极具营养。
20,黑米,杂粮,米,10.5,100,https://images.unsplash.com/photo-1590301157890-4810ed352733?auto=format&fit=crop&q=80&w=400,有机黑芝麻米，嚼劲十足，适合搭配大米同煮。
